,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
122,GJ Bailey (CSK/KXIP/RPS),2009-2016,40,37,10,663,61*,24.55,544,121.87,0,2,1,59,19
123,TH David (MI/RCB),2021-2024,37,34,12,659,46,29.95,384,171.61,0,0,2,38,46
124,E Lewis (LSG/MI/RR),2018-2022,27,26,2,654,65,27.25,477,137.1,0,4,2,62,36
125,PD Salt (DC/KKR),2023-2024,20,20,2,647,89*,35.94,367,176.29,0,6,3,74,33
126,PP Chawla (CSK/KKR/KXIP/MI),2008-2024,190,91,35,623,24*,11.12,561,111.05,0,0,16,56,20
127,CH Morris (CSK/DC/RCB/RR),2013-2021,81,51,23,618,82*,22.07,398,155.27,0,2,9,41,35
128,RM Patidar (RCB),2021-2024,23,20,1,617,112*,32.47,403,153.1,1,5,1,41,39
129,JJ Roy (DC/GL/KKR/SRH),2017-2023,21,21,2,614,91*,32.31,443,138.6,0,4,0,75,21
130,A Badoni (LSG),2022-2024,40,33,8,606,59*,24.24,454,133.48,0,4,2,45,22
131,JD Ryder (PWI/RCB),2009-2012,29,29,1,604,86,21.57,458,131.87,0,4,4,69,19
132,SN Khan (DC/KXIP/PBKS/RCB),2015-2023,50,37,11,585,67,22.5,448,130.58,0,1,3,63,14
133,HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21
134,C Green (MI/RCB),2023-2024,25,24,9,564,100*,37.6,371,152.02,1,2,0,51,25
135,M Shahrukh Khan (GT/PBKS),2021-2024,39,37,10,551,58,20.4,388,142.01,0,1,3,35,37
136,Abdul Samad (SRH),2020-2024,46,36,9,546,37*,20.22,370,147.56,0,0,2,37,33
137,Rashid Khan (GT/SRH),2017-2024,120,60,23,545,79*,14.72,337,161.72,0,1,15,39,38
138,CJ Anderson (DC/MI/RCB),2014-2018,30,29,7,538,95*,24.45,423,127.18,0,3,2,40,31
139,RS Bopara (KXIP/SRH),2009-2015,24,22,4,531,84,29.5,453,117.21,0,3,2,39,16
140,JP Faulkner (GL/KXIP/PWI/RR),2011-2017,60,45,20,527,46,21.08,389,135.47,0,0,0,36,23
141,M Manhas (CSK/DC/PWI),2008-2014,55,38,15,514,42*,22.34,470,109.36,0,0,6,43,10
142,Gurkeerat Singh (KXIP/RCB),2012-2020,41,32,8,511,65,21.29,422,121.09,0,2,4,55,11
143,Shahbaz Ahmed (RCB/SRH),2020-2024,51,33,9,507,59*,21.12,408,124.26,0,1,0,28,23
144,OA Shah (KKR/Kochi/RR),2010-2013,23,22,7,506,76,33.73,389,130.07,0,4,0,34,23
145,PC Valthaty (KXIP/RR),2009-2013,23,23,1,505,120*,22.95,418,120.81,1,2,1,60,20
146,SW Billings (CSK/DC/KKR),2016-2022,30,27,1,503,56,19.34,388,129.63,0,3,3,40,20
147,MK Lomror (RCB/RR),2018-2024,36,31,5,482,54*,18.53,345,139.71,0,1,2,31,27
148,DT Christian (DC/DCH/RCB/RPS),2011-2021,49,41,10,460,39,14.83,398,115.57,0,0,2,23,19
149,PJ Cummins (DC/KKR/SRH),2014-2024,54,38,14,456,66*,19.0,296,154.05,0,3,4,28,31
