,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,0,4s,6s,Team Name
138,Rashid Khan,2017-2023,109,52,20,443,79,13.84,266,166.54,0,1,14,28,35,GT/SRH
139,M Shahrukh Khan,2021-2023,33,31,10,426,47,20.28,316,134.81,0,0,2,26,28,PBKS
140,SA Asnodkar,2008-2011,20,20,0,423,60,21.15,339,124.77,0,2,3,56,10,RR
141,Prabhsimran Singh,2019-2023,20,20,0,422,103,21.1,304,138.81,1,1,2,44,21,KXIP/PBKS
142,NLTC Perera,2010-2016,37,30,8,422,40,19.18,307,137.45,0,0,1,23,26,CSK/Kochi/KXIP/MI/RPS/SRH
143,TH David,2021-2023,25,24,9,418,46,27.86,235,177.87,0,0,2,24,31,MI/RCB
144,JR Hopes,2008-2011,21,19,3,417,71,26.06,306,136.27,0,4,1,49,11,DC/KXIP
145,J Botha,2009-2015,34,28,8,409,67,20.45,359,113.92,0,1,0,39,5,DC/KKR/RR
146,LR Shukla,2008-2014,47,34,7,405,48,15.0,350,115.71,0,0,3,33,15,DC/KKR
147,RM Patidar,2021-2022,12,11,1,404,112,40.4,280,144.28,1,2,0,30,21,RCB
148,MK Lomror,2018-2023,30,25,4,402,54,19.14,305,131.8,0,1,1,24,21,RCB/RR
149,AL Menaria,2011-2013,29,23,2,401,40,19.09,356,112.64,0,0,1,24,18,RR
